ds,y,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2002-01-01,5848.000000000005,4352.818445676796,3711.416216018363,5183.024071995488,4352.818445676796,4352.818445676796,1.0009730200771891,1.0009730200771891,1.0009730200771891,1.0009730200771891,1.0009730200771891,1.0009730200771891,1.0,1.0,1.0,4388.432560229117
2002-02-01,5870.999999999996,4371.25879627446,3691.473727515383,5189.538334164267,4371.25879627446,4371.25879627446,1.0001377458845526,1.0001377458845526,1.0001377458845526,1.0001377458845526,1.0001377458845526,1.0001377458845526,1.0,1.0,1.0,4376.308843266556
2002-03-01,5882.999999999996,4387.981734314801,3782.1235184913744,5250.685235212914,4387.981734314801,4387.981734314801,1.0014975051668633,1.0014975051668633,1.0014975051668633,1.0014975051668633,1.0014975051668633,1.0014975051668633,1.0,1.0,1.0,4443.396223738598
2002-04-01,5858.999999999996,4406.5710512382475,3685.2166661335586,5315.104038571499,4406.5710512382475,4406.5710512382475,1.0009503279487448,1.0009503279487448,1.0009503279487448,1.0009503279487448,1.0009503279487448,1.0009503279487448,1.0,1.0,1.0,4441.832969930675
2002-05-01,5924.000000000003,4424.635691837916,3750.8641219950114,5290.2313527865945,4424.635691837916,4424.635691837916,1.0000790653777676,1.0000790653777676,1.0000790653777676,1.0000790653777676,1.0000790653777676,1.0000790653777676,1.0,1.0,1.0,4427.573399644059
2002-06-01,5915.000000000002,4443.380290180965,3696.839246995985,5201.8444287196235,4443.380290180965,4443.380290180965,0.9991175245692419,0.9991175245692419,0.9991175245692419,0.9991175245692419,0.9991175245692419,0.9991175245692419,1.0,1.0,1.0,4410.553003508212
2002-07-01,5770.000000000003,4461.595829441863,3698.7263939924333,5195.167547326697,4461.595829441863,4461.595829441863,0.9982462348989681,0.9982462348989681,0.9982462348989681,0.9982462348989681,0.9982462348989681,0.9982462348989681,1.0,1.0,1.0,4396.268997138188
2002-08-01,5811.0,4480.497006310772,3713.285641849543,5183.865781180878,4480.497006310772,4480.497006310772,0.998385697054025,0.998385697054025,0.998385697054025,0.998385697054025,0.998385697054025,0.998385697054025,1.0,1.0,1.0,4420.048981658705
2002-09-01,5410.999999999998,4499.478256431648,3679.9926117271725,5210.922089843179,4499.478256431648,4499.478256431648,0.99673687736859,0.99673687736859,0.99673687736859,0.99673687736859,0.99673687736859,0.99673687736859,1.0,1.0,1.0,4377.457613443254
2002-10-01,5363.000000000002,4517.92376806492,3746.9667625228567,5294.8016452829515,4517.92376806492,4517.92376806492,0.9983059591933691,0.9983059591933691,0.9983059591933691,0.9983059591933691,0.9983059591933691,0.9983059591933691,1.0,1.0,1.0,4453.916109103083
2002-11-01,5597.000000000004,4537.0635735257665,3794.110669236584,5328.319435755001,4537.0635735257665,4537.0635735257665,0.9996139591157016,0.9996139591157016,0.9996139591157016,0.9996139591157016,0.9996139591157016,0.9996139591157016,1.0,1.0,1.0,4522.3370531664095
2002-12-01,5699.000000000005,4555.663165335493,3829.5217948643512,5500.042439523328,4555.663165335493,4555.663165335493,1.0000899381652506,1.0000899381652506,1.0000899381652506,1.0000899381652506,1.0000899381652506,1.0000899381652506,1.0,1.0,1.0,4559.115918239907
2003-01-01,5785.000000000002,4574.9628505904775,3899.4244706850236,5484.586053576387,4574.9628505904775,4574.9628505904775,1.000997783992303,1.000997783992303,1.000997783992303,1.000997783992303,1.000997783992303,1.000997783992303,1.0,1.0,1.0,4613.5796961212045
2003-02-01,5790.999999999996,4594.344297344814,3877.733126875404,5477.879700528023,4594.344297344814,4594.344297344814,1.0004902609868807,1.0004902609868807,1.0004902609868807,1.0004902609868807,1.0004902609868807,1.0004902609868807,1.0,1.0,1.0,4613.3727198536335
2003-03-01,5817.000000000003,4611.92068405657,3935.884375164543,5568.210614615622,4611.92068405657,4611.92068405657,1.0007712334020145,1.0007712334020145,1.0007712334020145,1.0007712334020145,1.0007712334020145,1.0007712334020145,1.0,1.0,1.0,4642.014029085444
2003-04-01,5774.000000000005,4631.458699575471,3933.454103043645,5528.132474677381,4631.458699575471,4631.458699575471,1.0010193664595595,1.0010193664595595,1.0010193664595595,1.0010193664595595,1.0010193664595595,1.0010193664595595,1.0,1.0,1.0,4671.459652262227
2003-05-01,5733.000000000003,4650.445262117464,3935.552284524328,5518.760204514437,4650.445262117464,4650.445262117464,1.0010193913528695,1.0010193913528695,1.0010193913528695,1.0010193913528695,1.0010193913528695,1.0010193913528695,1.0,1.0,1.0,4690.630734331915
2003-06-01,5700.999999999998,4670.1464837831245,3895.489039196494,5502.294561864163,4670.1464837831245,4670.1464837831245,0.9993600745711401,0.9993600745711401,0.9993600745711401,0.9993600745711401,0.9993600745711401,0.9993600745711401,1.0,1.0,1.0,4644.9565230474755
2003-07-01,5526.000000000002,4689.291646041129,3901.8872713451406,5395.959037861656,4689.291646041129,4689.291646041129,0.9968715839196547,0.9968715839196547,0.9968715839196547,0.9968715839196547,0.9968715839196547,0.9968715839196547,1.0,1.0,1.0,4566.721121160455
2003-08-01,5595.0,4709.157437157122,3938.442807881993,5539.224836821476,4709.157437157122,4709.157437157122,0.9981345163903212,0.9981345163903212,0.9981345163903212,0.9981345163903212,0.9981345163903212,0.9981345163903212,1.0,1.0,1.0,4635.376298195026
2003-09-01,5682.999999999998,4729.10738803252,3965.6089530834956,5485.814943303094,4729.10738803252,4729.10738803252,0.9979678042070879,0.9979678042070879,0.9979678042070879,0.9979678042070879,0.9979678042070879,0.9979678042070879,1.0,1.0,1.0,4648.402294340256
2003-10-01,5634.999999999997,4748.49425921392,3912.878374361516,5586.946798877252,4748.49425921392,4748.49425921392,0.9984111927467294,0.9984111927467294,0.9984111927467294,0.9984111927467294,0.9984111927467294,0.9984111927467294,1.0,1.0,1.0,4685.003646833246
2003-11-01,5559.999999999995,4768.610857239704,3989.001763226074,5572.932410685376,4768.610857239704,4768.610857239704,0.9988587634786174,0.9988587634786174,0.9988587634786174,0.9988587634786174,0.9988587634786174,0.9988587634786174,1.0,1.0,1.0,4722.713180842367
2003-12-01,5579.000000000002,4788.159672019737,4033.3619076180003,5742.849785826619,4788.159672019737,4788.159672019737,1.0002685466578314,1.0002685466578314,1.0002685466578314,1.0002685466578314,1.0002685466578314,1.0002685466578314,1.0,1.0,1.0,4799.066730748483
2004-01-01,5569.999999999997,4808.444309243082,4155.8386679771575,5786.909117701262,4808.444309243082,4808.444309243082,1.0010246208093425,1.0010246208093425,1.0010246208093425,1.0010246208093425,1.0010246208093425,1.0010246208093425,1.0,1.0,1.0,4850.375008565252
2004-02-01,5555.999999999998,4828.814880632259,4096.796975894157,5819.627723151851,4828.814880632259,4828.814880632259,1.0008350953297827,1.0008350953297827,1.0008350953297827,1.0008350953297827,1.0008350953297827,1.0008350953297827,1.0,1.0,1.0,4863.127217235389
2004-03-01,5607.000000000004,4847.949340878554,4200.510509787093,5851.622250862618,4847.949340878554,4847.949340878554,1.0029571512490951,1.0029571512490951,1.0029571512490951,1.0029571512490951,1.0029571512490951,1.0029571512490951,1.0,1.0,1.0,4970.965427800534
2004-04-01,5526.000000000002,4868.487272023903,4111.080210129897,5772.556423901082,4868.487272023903,4868.487272023903,1.000877056454988,1.000877056454988,1.000877056454988,1.000877056454988,1.000877056454988,1.000877056454988,1.0,1.0,1.0,4904.860660883516
2004-05-01,5547.999999999999,4888.445527958175,4100.177634093908,5705.7261994454275,4888.445527958175,4888.445527958175,0.9981950571275848,0.9981950571275848,0.9981950571275848,0.9981950571275848,0.9981950571275848,0.9981950571275848,1.0,1.0,1.0,4813.999281565788
2004-06-01,5398.000000000001,4909.155017806681,4114.120056184287,5735.084545811996,4909.155017806681,4909.155017806681,0.998537003365985,0.998537003365985,0.998537003365985,0.998537003365985,0.998537003365985,0.998537003365985,1.0,1.0,1.0,4848.449336200611
2004-07-01,5458.000000000002,4929.279990265666,4186.16623703857,5881.691648824164,4929.279990265666,4929.279990265666,1.0009883880894954,1.0009883880894954,1.0009883880894954,1.0009883880894954,1.0009883880894954,1.0009883880894954,1.0,1.0,1.0,4970.8606441236725
2004-08-01,5332.999999999996,4950.162471891986,4149.732153880351,5818.9489422499355,4950.162471891986,4950.162471891986,0.9989936611747503,0.9989936611747503,0.9989936611747503,0.9989936611747503,0.9989936611747503,0.9989936611747503,1.0,1.0,1.0,4907.943362221184
2004-09-01,5061.999999999996,4971.133420401853,3959.5262743477792,5621.681877944399,4971.133420401853,4971.133420401853,0.9943138464653878,0.9943138464653878,0.9943138464653878,0.9943138464653878,0.9943138464653878,0.9943138464653878,1.0,1.0,1.0,4735.619729671534
2004-10-01,5156.000000000004,4991.512471951997,4183.166648866168,5844.368773562931,4991.512471951997,4991.512471951997,0.9980229814418675,0.9980229814418675,0.9980229814418675,0.9980229814418675,0.9980229814418675,0.9980229814418675,1.0,1.0,1.0,4908.100534648833
2004-11-01,5395.999999999995,5012.6585962721665,4261.5668501046985,5939.893052824286,5012.6585962721665,5012.6585962721665,1.0011096153296215,1.0011096153296215,1.0011096153296215,1.0011096153296215,1.0011096153296215,1.0011096153296215,1.0,1.0,1.0,5060.244513917248
2004-12-01,5413.0,5033.207879362711,4241.33136505615,6023.043759689262,5033.207879362711,5033.207879362711,0.9997595943308758,0.9997595943308758,0.9997595943308758,0.9997595943308758,0.9997595943308758,0.9997595943308758,1.0,1.0,1.0,5022.903288925614
2005-01-01,5446.000000000004,5054.53064278248,4299.24781169486,6034.157344458633,5054.53064278248,5054.53064278248,1.0009504654807597,1.0009504654807597,1.0009504654807597,1.0009504654807597,1.0009504654807597,1.0009504654807597,1.0,1.0,1.0,5095.647563094115
2005-02-01,5501.000000000004,5075.943738302722,4266.601059759687,5964.322419870824,5075.943738302722,5075.943738302722,0.9997778151779095,0.9997778151779095,0.9997778151779095,0.9997778151779095,0.9997778151779095,0.9997778151779095,1.0,1.0,1.0,5066.329114879425
2005-03-01,5600.999999999995,5095.362559422221,4380.648246716649,6160.888323856827,5095.362559422221,5095.362559422221,1.0022263947027388,1.0022263947027388,1.0022263947027388,1.0022263947027388,1.0022263947027388,1.0022263947027388,1.0,1.0,1.0,5193.014703378999
